Threshold [mV] - Staircase(s)-Multicolor	Frequency  [kHz] - Staircase(s)-Multicolor	Threshold [mV] - Plot 1	Frequency  [kHz] - Plot 1 19C stair	
-6	38.816	-6	41.352	
-8	39.216	-8	41.796	
-10	39.536	-10	42.38	
-12	39.376	-12	42.656	
-14	39.22	-14	43.248	
-16	39.352	-16	42.872	
-18	4.952	-18	1.908	
-20	1.58	-20	1.76	
-22	1.456	-22	1.428	
-24	1.16	-24	1.076	
-26	0.756	-26	0.78	
-28	0.712	-28	0.692	
-30	0.32	-30	0.112	
-32	0.024	-32	0.048	
-34	0.028	-34	0.02	
-36	0.036	-36	0.024	
-38	0.02			
-40	0.024			
-42	0.004			
-44	0.004			
