ADC Channel - Charge distribution	LED bias56.03V, G29dB,I2.5
-49.5	0	
-48.5	0	
-47.5	0	
-46.5	0	
-45.5	0	
-44.5	0	
-43.5	0	
-42.5	0	
-41.5	0	
-40.5	1	
-39.5	0	
-38.5	1	
-37.5	0	
-36.5	1	
-35.5	0	
-34.5	2	
-33.5	0	
-32.5	1	
-31.5	6	
-30.5	2	
-29.5	5	
-28.5	6	
-27.5	7	
-26.5	18	
-25.5	20	
-24.5	31	
-23.5	34	
-22.5	47	
-21.5	69	
-20.5	102	
-19.5	110	
-18.5	159	
-17.5	214	
-16.5	328	
-15.5	331	
-14.5	459	
-13.5	565	
-12.5	707	
-11.5	864	
-10.5	1015	
-9.5	1240	
-8.5	1423	
-7.5	1657	
-6.5	1878	
-5.5	2015	
-4.5	2265	
-3.5	2442	
-2.5	2666	
-1.5	2759	
-0.5	2707	
0.5	2763	
1.5	2744	
2.5	2833	
3.5	2720	
4.5	2457	
5.5	2333	
6.5	2157	
7.5	2045	
8.5	1741	
9.5	1551	
10.5	1274	
11.5	1212	
12.5	933	
13.5	813	
14.5	620	
15.5	521	
16.5	400	
17.5	293	
18.5	203	
19.5	194	
20.5	142	
21.5	95	
22.5	76	
23.5	59	
24.5	30	
25.5	29	
26.5	34	
27.5	25	
28.5	9	
29.5	14	
30.5	11	
31.5	6	
32.5	6	
33.5	7	
34.5	4	
35.5	3	
36.5	8	
37.5	2	
38.5	5	
39.5	8	
40.5	1	
41.5	5	
42.5	5	
43.5	0	
44.5	3	
45.5	2	
46.5	4	
47.5	3	
48.5	5	
49.5	6	
50.5	3	
51.5	3	
52.5	0	
53.5	3	
54.5	6	
55.5	5	
56.5	4	
57.5	5	
58.5	5	
59.5	5	
60.5	4	
61.5	2	
62.5	3	
63.5	0	
64.5	1	
65.5	5	
66.5	2	
67.5	5	
68.5	1	
69.5	3	
70.5	2	
71.5	4	
72.5	2	
73.5	1	
74.5	3	
75.5	0	
76.5	0	
77.5	1	
78.5	1	
79.5	1	
80.5	3	
81.5	3	
82.5	1	
83.5	1	
84.5	4	
85.5	0	
86.5	1	
87.5	4	
88.5	1	
89.5	2	
90.5	3	
91.5	3	
92.5	3	
93.5	1	
94.5	1	
95.5	1	
96.5	1	
97.5	3	
98.5	1	
99.5	8	
100.5	3	
101.5	4	
102.5	2	
103.5	2	
104.5	1	
105.5	3	
106.5	3	
107.5	2	
108.5	2	
109.5	5	
110.5	1	
111.5	2	
112.5	2	
113.5	1	
114.5	2	
115.5	5	
116.5	5	
117.5	2	
118.5	1	
119.5	2	
120.5	2	
121.5	2	
122.5	3	
123.5	1	
124.5	3	
125.5	3	
126.5	1	
127.5	1	
128.5	7	
129.5	1	
130.5	3	
131.5	1	
132.5	2	
133.5	1	
134.5	2	
135.5	4	
136.5	4	
137.5	2	
138.5	3	
139.5	0	
140.5	3	
141.5	1	
142.5	2	
143.5	6	
144.5	3	
145.5	1	
146.5	3	
147.5	3	
148.5	0	
149.5	2	
150.5	1	
151.5	0	
152.5	1	
153.5	2	
154.5	3	
155.5	4	
156.5	1	
157.5	3	
158.5	1	
159.5	6	
160.5	4	
161.5	2	
162.5	1	
163.5	1	
164.5	2	
165.5	3	
166.5	4	
167.5	5	
168.5	1	
169.5	1	
170.5	5	
171.5	3	
172.5	2	
173.5	3	
174.5	2	
175.5	3	
176.5	3	
177.5	2	
178.5	1	
179.5	1	
180.5	5	
181.5	6	
182.5	2	
183.5	4	
184.5	1	
185.5	3	
186.5	2	
187.5	2	
188.5	3	
189.5	1	
190.5	1	
191.5	1	
192.5	2	
193.5	2	
194.5	1	
195.5	0	
196.5	4	
197.5	4	
198.5	6	
199.5	3	
200.5	2	
201.5	1	
202.5	2	
203.5	3	
204.5	1	
205.5	2	
206.5	3	
207.5	2	
208.5	3	
209.5	1	
210.5	3	
211.5	3	
212.5	3	
213.5	5	
214.5	0	
215.5	4	
216.5	5	
217.5	1	
218.5	3	
219.5	7	
220.5	6	
221.5	5	
222.5	5	
223.5	6	
224.5	7	
225.5	2	
226.5	5	
227.5	6	
228.5	3	
229.5	6	
230.5	2	
231.5	6	
232.5	2	
233.5	2	
234.5	4	
235.5	7	
236.5	3	
237.5	5	
238.5	3	
239.5	5	
240.5	11	
241.5	6	
242.5	9	
243.5	4	
244.5	11	
245.5	6	
246.5	5	
247.5	2	
248.5	3	
249.5	9	
250.5	9	
251.5	17	
252.5	11	
253.5	13	
254.5	8	
255.5	12	
256.5	7	
257.5	11	
258.5	6	
259.5	21	
260.5	19	
261.5	21	
262.5	19	
263.5	21	
264.5	23	
265.5	28	
266.5	48	
267.5	43	
268.5	44	
269.5	60	
270.5	69	
271.5	82	
272.5	120	
273.5	143	
274.5	140	
275.5	169	
276.5	217	
277.5	260	
278.5	320	
279.5	316	
280.5	380	
281.5	444	
282.5	511	
283.5	576	
284.5	648	
285.5	674	
286.5	811	
287.5	866	
288.5	1077	
289.5	1134	
290.5	1126	
291.5	1413	
292.5	1385	
293.5	1614	
294.5	1588	
295.5	1790	
296.5	1867	
297.5	2046	
298.5	2216	
299.5	2168	
300.5	2255	
301.5	2386	
302.5	2476	
303.5	2551	
304.5	2590	
305.5	2549	
306.5	2709	
307.5	2604	
308.5	2715	
309.5	2644	
310.5	2568	
311.5	2602	
312.5	2562	
313.5	2380	
314.5	2330	
315.5	2229	
316.5	2154	
317.5	2030	
318.5	2004	
319.5	1875	
320.5	1694	
321.5	1556	
322.5	1481	
323.5	1348	
324.5	1274	
325.5	1147	
326.5	1060	
327.5	888	
328.5	820	
329.5	773	
330.5	673	
331.5	594	
332.5	516	
333.5	467	
334.5	389	
335.5	327	
336.5	295	
337.5	288	
338.5	236	
339.5	178	
340.5	159	
341.5	128	
342.5	107	
343.5	98	
344.5	102	
345.5	86	
346.5	80	
347.5	89	
348.5	80	
349.5	83	
350.5	71	
351.5	65	
352.5	77	
353.5	63	
354.5	64	
355.5	79	
356.5	72	
357.5	69	
358.5	85	
359.5	71	
