ADC Channel - Charge distribution	Cs137 picchi
505	0	
515	0	
525	0	
535	0	
545	0	
555	0	
565	0	
575	0	
585	0	
595	0	
605	0	
615	1	
625	0	
635	0	
645	0	
655	0	
665	0	
675	0	
685	0	
695	0	
705	1	
715	0	
725	1	
735	0	
745	1	
755	0	
765	1	
775	1	
785	4	
795	4	
805	2	
815	1	
825	3	
835	1	
845	6	
855	4	
865	4	
875	7	
885	14	
895	9	
905	13	
915	23	
925	24	
935	16	
945	28	
955	26	
965	31	
975	25	
985	48	
995	25	
1005	42	
1015	32	
1025	31	
1035	53	
1045	43	
1055	56	
1065	54	
1075	60	
1085	73	
1095	79	
1105	91	
1115	110	
1125	148	
1135	136	
1145	164	
1155	157	
1165	220	
1175	231	
1185	322	
1195	454	
1205	472	
1215	573	
1225	764	
1235	859	
1245	926	
1255	1007	
1265	921	
1275	857	
1285	776	
1295	695	
1305	671	
1315	633	
1325	631	
1335	689	
1345	721	
1355	806	
1365	965	
1375	1105	
1385	1394	
1395	1682	
1405	1860	
1415	1970	
1425	2087	
1435	2030	
1445	1864	
1455	1710	
1465	1473	
1475	1330	
1485	1103	
1495	1055	
1505	1104	
1515	1062	
1525	1167	
1535	1340	
1545	1465	
1555	1705	
1565	1926	
1575	2194	
1585	2527	
1595	2595	
1605	2578	
1615	2474	
1625	2136	
1635	1899	
1645	1704	
1655	1496	
1665	1398	
1675	1312	
1685	1404	
1695	1355	
1705	1395	
1715	1577	
1725	1865	
1735	1967	
1745	2249	
1755	2478	
1765	2735	
1775	2688	
1785	2646	
1795	2516	
1805	2110	
1815	1970	
1825	1626	
1835	1605	
1845	1362	
1855	1436	
1865	1356	
1875	1481	
1885	1577	
1895	1779	
1905	1955	
1915	2133	
1925	2459	
1935	2713	
1945	2768	
1955	2706	
1965	2569	
1975	2456	
1985	2197	
1995	1904	
2005	1792	
2015	1561	
2025	1529	
2035	1520	
2045	1458	
2055	1606	
2065	1725	
2075	1881	
2085	2141	
2095	2426	
2105	2646	
2115	2739	
2125	2775	
2135	2755	
2145	2466	
2155	2368	
2165	2046	
2175	1794	
2185	1755	
2195	1664	
2205	1537	
2215	1443	
2225	1594	
2235	1717	
2245	1891	
2255	2100	
2265	2304	
2275	2486	
2285	2660	
2295	2683	
2305	2611	
2315	2646	
2325	2446	
2335	2344	
2345	2024	
2355	1824	
2365	1719	
2375	1560	
2385	1616	
2395	1606	
2405	1741	
2415	1783	
2425	2004	
2435	2307	
2445	2470	
2455	2659	
2465	2808	
2475	2809	
2485	2694	
2495	2445	
2505	2265	
2515	2151	
2525	2025	
2535	1855	
2545	1839	
2555	1683	
2565	1748	
2575	1726	
2585	1743	
2595	1923	
2605	2153	
2615	2256	
2625	2441	
2635	2625	
2645	2711	
2655	2765	
2665	2618	
2675	2540	
2685	2353	
2695	2161	
2705	1980	
2715	1872	
2725	1732	
2735	1777	
2745	1643	
2755	1893	
2765	1958	
2775	2047	
2785	2281	
2795	2489	
2805	2581	
2815	2703	
2825	2630	
2835	2743	
2845	2502	
2855	2435	
2865	2287	
2875	2147	
2885	1820	
2895	1900	
2905	1834	
2915	1706	
2925	1803	
2935	1976	
2945	2023	
2955	2179	
2965	2314	
2975	2511	
2985	2631	
2995	2735	
3005	2746	
3015	2639	
3025	2444	
3035	2374	
3045	2165	
3055	2033	
3065	2038	
3075	1880	
3085	1854	
3095	1945	
3105	2040	
3115	2007	
3125	2193	
3135	2377	
3145	2454	
3155	2522	
3165	2603	
3175	2602	
3185	2605	
3195	2543	
3205	2502	
3215	2318	
3225	2133	
3235	2069	
3245	1901	
3255	1882	
3265	1895	
3275	1862	
3285	1960	
3295	2162	
3305	2290	
3315	2353	
3325	2502	
3335	2586	
3345	2696	
3355	2669	
3365	2583	
3375	2623	
3385	2300	
3395	2272	
3405	2138	
3415	2040	
3425	2057	
3435	1945	
3445	2040	
3455	1975	
3465	2159	
3475	2254	
3485	2312	
3495	2426	
3505	2517	
3515	2588	
3525	2554	
3535	2621	
3545	2470	
3555	2550	
3565	2322	
3575	2265	
3585	2097	
3595	1994	
3605	1983	
3615	1946	
3625	2083	
3635	2078	
3645	2123	
3655	2261	
3665	2317	
3675	2430	
3685	2587	
3695	2573	
3705	2525	
3715	2435	
3725	2507	
3735	2511	
3745	2323	
3755	2283	
3765	2061	
3775	1993	
3785	1993	
3795	2049	
3805	1984	
3815	2136	
3825	2302	
3835	2286	
3845	2365	
3855	2503	
3865	2565	
3875	2635	
3885	2602	
3895	2490	
3905	2456	
3915	2359	
3925	2298	
3935	2195	
3945	2157	
3955	2040	
3965	1989	
3975	1992	
3985	2034	
3995	2206	
4005	2254	
4015	2404	
4025	2379	
4035	2474	
4045	2521	
4055	2649	
4065	2508	
4075	2468	
4085	2330	
4095	2373	
4105	2242	
4115	2198	
4125	2083	
4135	2116	
4145	2009	
4155	2029	
4165	2112	
4175	2161	
4185	2286	
4195	2481	
4205	2397	
4215	2609	
4225	2575	
4235	2627	
4245	2486	
4255	2498	
4265	2431	
4275	2270	
4285	2127	
4295	2132	
4305	2111	
4315	2088	
4325	2118	
4335	2097	
4345	2201	
4355	2301	
4365	2279	
4375	2436	
4385	2560	
4395	2449	
4405	2531	
4415	2509	
4425	2390	
4435	2324	
4445	2290	
4455	2259	
4465	2191	
4475	2134	
4485	2137	
4495	2176	
4505	2035	
4515	2241	
4525	2206	
4535	2316	
4545	2379	
4555	2456	
4565	2495	
4575	2436	
4585	2473	
4595	2529	
4605	2402	
4615	2404	
4625	2280	
4635	2186	
4645	2174	
4655	2136	
4665	2070	
