ADC Channel - Charge distribution Sr90 CENTRATO	
532.5	0	
597.5	0	
662.5	1	
727.5	1	
792.5	4	
857.5	10	
922.5	30	
987.5	47	
1052.5	81	
1117.5	148	
1182.5	523	
1247.5	1162	
1312.5	891	
1377.5	1607	
1442.5	2126	
1507.5	1452	
1572.5	2683	
1637.5	2255	
1702.5	1911	
1767.5	3199	
1832.5	2048	
1897.5	2509	
1962.5	3134	
2027.5	2042	
2092.5	3020	
2157.5	2648	
2222.5	2223	
2287.5	3446	
2352.5	2463	
2417.5	2780	
2482.5	3368	
2547.5	2531	
2612.5	3274	
2677.5	3143	
2742.5	2570	
2807.5	3533	
2872.5	2856	
2937.5	2962	
3002.5	3735	
3067.5	2764	
3132.5	3481	
3197.5	3373	
3262.5	2903	
3327.5	3722	
3392.5	3208	
3457.5	3076	
3522.5	3770	
3587.5	3188	
3652.5	3595	
3717.5	3702	
3782.5	3212	
3847.5	3751	
3912.5	3591	
3977.5	3390	
4042.5	3947	
4107.5	3384	
4172.5	3604	
4237.5	3789	
4302.5	3298	
4367.5	3877	
4432.5	3841	
4497.5	3600	
4562.5	4021	
4627.5	3556	
4692.5	3779	
4757.5	3984	
4822.5	3564	
4887.5	4016	
4952.5	3975	
5017.5	3708	
5082.5	4042	
5147.5	3794	
5212.5	3874	
5277.5	4200	
5342.5	3912	
5407.5	4082	
5472.5	4080	
5537.5	3906	
5602.5	4190	
5667.5	3904	
5732.5	3893	
5797.5	4111	
5862.5	3968	
5927.5	4019	
5992.5	4096	
6057.5	3913	
6122.5	4177	
6187.5	4002	
6252.5	4012	
6317.5	4299	
6382.5	4022	
6447.5	4080	
6512.5	4064	
6577.5	3984	
6642.5	4245	
6707.5	4115	
6772.5	4170	
6837.5	4236	
6902.5	4000	
6967.5	4071	
7032.5	4184	
7097.5	4040	
7162.5	4108	
7227.5	4134	
7292.5	4064	
7357.5	4152	
7422.5	3981	
7487.5	4178	
7552.5	4099	
7617.5	4089	
7682.5	4171	
7747.5	4151	
7812.5	4081	
7877.5	4211	
7942.5	4077	
8007.5	3989	
8072.5	4004	
8137.5	4145	
8202.5	4004	
8267.5	4023	
8332.5	4119	
8397.5	3941	
8462.5	4045	
8527.5	4056	
8592.5	4205	
8657.5	4001	
8722.5	3932	
8787.5	4078	
8852.5	4071	
8917.5	4054	
8982.5	4012	
9047.5	3913	
9112.5	3947	
9177.5	4027	
9242.5	3986	
9307.5	3993	
9372.5	3929	
9437.5	3929	
9502.5	3947	
9567.5	4044	
9632.5	3944	
9697.5	3967	
9762.5	3952	
9827.5	4007	
9892.5	3902	
9957.5	3919	
10022.5	3826	
10087.5	3935	
10152.5	3832	
10217.5	3828	
10282.5	3838	
10347.5	3865	
10412.5	3976	
10477.5	3842	
10542.5	3691	
10607.5	3845	
10672.5	3719	
10737.5	3830	
10802.5	3737	
10867.5	3894	
10932.5	3808	
10997.5	3693	
11062.5	3733	
11127.5	3784	
11192.5	3797	
11257.5	3691	
11322.5	3882	
11387.5	3856	
11452.5	3881	
11517.5	3768	
11582.5	3681	
11647.5	3700	
11712.5	3652	
11777.5	3611	
11842.5	3669	
11907.5	3619	
11972.5	3735	
12037.5	3656	
12102.5	3691	
12167.5	3772	
12232.5	3593	
12297.5	3680	
12362.5	3587	
12427.5	3657	
12492.5	3688	
12557.5	3605	
12622.5	3754	
12687.5	3641	
