ADC Channel - Charge distribution	Sr90 decentrato	
532.5	0	
597.5	0	
662.5	1	
727.5	3	
792.5	7	
857.5	13	
922.5	70	
987.5	119	
1052.5	186	
1117.5	343	
1182.5	1004	
1247.5	2677	
1312.5	2293	
1377.5	4045	
1442.5	5806	
1507.5	3803	
1572.5	6892	
1637.5	6411	
1702.5	4714	
1767.5	8558	
1832.5	5744	
1897.5	6319	
1962.5	8659	
2027.5	5447	
2092.5	7856	
2157.5	7747	
2222.5	5738	
2287.5	8868	
2352.5	7049	
2417.5	6723	
2482.5	8864	
2547.5	6392	
2612.5	7883	
2677.5	8425	
2742.5	6248	
2807.5	8702	
2872.5	7653	
2937.5	6783	
3002.5	9037	
3067.5	7191	
3132.5	7849	
3197.5	8613	
3262.5	6919	
3327.5	8317	
3392.5	7961	
3457.5	6936	
3522.5	8831	
3587.5	7328	
3652.5	7594	
3717.5	8423	
3782.5	6999	
3847.5	7947	
3912.5	8210	
3977.5	7020	
4042.5	8608	
4107.5	7733	
4172.5	7290	
4237.5	8329	
4302.5	7224	
4367.5	7954	
4432.5	8300	
4497.5	7110	
4562.5	8111	
4627.5	7704	
4692.5	7267	
4757.5	8046	
4822.5	7414	
4887.5	7737	
4952.5	8204	
5017.5	7244	
5082.5	7949	
5147.5	7711	
5212.5	7308	
5277.5	7943	
5342.5	7401	
5407.5	7769	
5472.5	7905	
5537.5	7415	
5602.5	7798	
5667.5	7657	
5732.5	7434	
5797.5	7875	
5862.5	7449	
5927.5	7532	
5992.5	7835	
6057.5	7364	
6122.5	7772	
6187.5	7673	
6252.5	7331	
6317.5	7652	
6382.5	7579	
6447.5	7345	
6512.5	7972	
6577.5	7533	
6642.5	7617	
6707.5	7835	
6772.5	7767	
6837.5	7701	
6902.5	7633	
6967.5	7610	
7032.5	7756	
7097.5	7493	
7162.5	7653	
7227.5	7688	
7292.5	7520	
7357.5	7648	
7422.5	7638	
7487.5	7528	
7552.5	7706	
7617.5	7485	
7682.5	7740	
7747.5	7615	
7812.5	7598	
7877.5	7698	
7942.5	7634	
8007.5	7519	
8072.5	7577	
8137.5	7490	
8202.5	7502	
8267.5	7610	
8332.5	7523	
8397.5	7610	
8462.5	7684	
8527.5	7575	
8592.5	7535	
8657.5	7547	
8722.5	7449	
8787.5	7542	
8852.5	7443	
8917.5	7474	
8982.5	7513	
9047.5	7462	
9112.5	7483	
9177.5	7500	
9242.5	7438	
9307.5	7384	
9372.5	7370	
9437.5	7463	
9502.5	7482	
9567.5	7339	
9632.5	7395	
9697.5	7429	
9762.5	7278	
9827.5	7441	
9892.5	7331	
9957.5	7526	
10022.5	7336	
10087.5	7191	
10152.5	7310	
10217.5	7299	
10282.5	7356	
10347.5	7292	
10412.5	7335	
10477.5	7224	
10542.5	7394	
10607.5	7317	
10672.5	7308	
10737.5	7138	
10802.5	7232	
10867.5	7279	
10932.5	7265	
10997.5	7214	
11062.5	7250	
11127.5	7214	
11192.5	7072	
11257.5	7120	
11322.5	7198	
11387.5	7200	
11452.5	7166	
11517.5	7104	
11582.5	7014	
11647.5	7170	
11712.5	7100	
11777.5	6992	
11842.5	7135	
11907.5	7002	
11972.5	6982	
12037.5	7015	
12102.5	7079	
12167.5	6983	
12232.5	6937	
12297.5	6824	
12362.5	7046	
12427.5	6944	
12492.5	6923	
12557.5	6922	
12622.5	6967	
12687.5	6691	
